character,pinyin,definition
的,de,(possessive particle)
一,yi1,one
是,shi4,is
不,bu4,not
了,le,(completed action particle)
在,zai4,at (location)
人,ren2,person
有,you3,have
我,wo3,me/myself/I
他,ta1,he/him
这,zhe4,this/these
个,ge4,(numerary adjunct)
们,men,(pronoun plural particle)
中,zhong1,center/middle
来,lai2,arrive
上,shang4,up
大,da4,big
为,"wei2,wei4",in order to;because
和,he2,"and,harmony"
国,guo2,country
地,"de,di4",(particle);earth
到,dao4,"to (a place),arrive"
以,yi3,in order to
说,shuo1,speak
时,shi2,time
要,"yao1,yao4",request;want
就,jiu4,just
出,chu1,exit
会,hui4,able
可,ke3,can/may
也,ye3,also
你,ni3,you
对,dui4,oppose
生,sheng4,life
能,neng2,able
而,er2,and
子,"zi,zi3",(noun suffix particle);child
那,na4,that/those
得,"de,de2,dei3",(particle between verb & degree descriptor);obtain;must
于,yu2,from
着,"zhe,zhao2,zhuo2",(particle indicating action in progress);to be affected by;wear (clothing)
下,xia4,down
自,zi4,"self,naturally"
之,zhi1,"(possessive particle),it"
年,nian2,year
过,guo4,pass
发,"fa1,fa4",send;hair
后,hou4,"after,empress"
作,zuo4,make
里,li3,inside
用,yong4,use
道,dao4,"way/path"
行,hang2,"row/line,business"
所,suo3,"place,(passive participle particle)"
然,ran2,"thus,correct"
家,jia1,"home,(noun suffix for specialist)"
种,"zhong3,zhong4",seed;plant
事,shi4,matter/affair
成,cheng2,complete
方,fang1,"square,direction"
多,duo1,many
经,jing1,undergo
么,"ma,me,ma2",what
去,qu4,go
法,fa3,law
学,xue2,study
如,ru2,as/if
都,"dou1,du1",all;city
同,tong2,like/similar
现,xian4,now
当,dang1,"be,withstand,just at"
没,mei2,not
动,dong4,"move,touch"
面,mian4,"surface,flour"
起,qi3,rise
看,kan4,see
定,ding4,designate
天,tian1,sky
分,"fen1,fen4",divide;part
还,"hai2,huan2","still,even/yet;return"
进,jin4,enter
好,hao3,good
小,xiao3,small
部,bu4,part
其,qi2,his/hers/its
些,xie1,some
主,zhu3,owner/master
样,yang4,appearance
理,li3,reason
心,xin1,heart
她,ta1,she/her
本,ben3,"source,edition,current/present,(classifier for literature)"
前,qian2,"front/forward,before"
开,kai1,open
但,dan4,but
因,yin1,cause
只,"zhi1,zhi3",(classifier for birds & some animals);merely
从,cong2,from
想,xiang3,think
实,shi2,true
